unique.cellid,CGP.cellid,CCLE.cellid,GSK.cellid,NCI60.cellid,GRAY.cellid,GNE.cellid,CTRP.cellid,CGP_EMTAB3610.cellid,CCLE_rnaseq.cellid,GDSC.SNP.cellid,Ben_Neel.cellid,LINCS_HMS.cellid,,SU2C.cellid,PGP.cellid,COSMIC.tissueid,Comment
HCC712,,,,,,,,,,,hcc712,,,,,breast,
HCC812,,,,,,,,,,,hcc812,,,,,breast,
HCC827,,HCC827,,,,HCC827,HCC827,HCC-827,HCC827,HCC-827,,HCC-827,,,,lung,
HCT-116,HCT-116,HCT 116,HCT116,CO:HCT_116,,HCT 116,HCT116,HCT-116,HCT_116,,,,,,,large_intestine,
HCT-15,HCT-15,HCT-15,HCT15,CO:HCT_15,,HCT-15,,HCT-15,HCT-15,,,,,,HCT15,large_intestine,
HCT-8,,HCT-8,HCT8,,,HCT-8,HCT8,,,,,,,,,large_intestine,
HD-MY-Z,HD-MY-Z,HD-MY-Z,HDMYZ,,,,,HD-MY-Z,HD-MY-Z,,,,,,,haematopoietic_and_lymphoid_tissue,
HDQ-P1,,HDQ-P1,,,HDQP1,,,HDQ-P1,HDQ-P1,,hdqp1,,,,,breast,
HEC-1,HEC-1,HEC-1-B,,,,,,HEC-1,HEC-1-B,,,,,,,endometrium,
HEC-1-A,,HEC-1-A,HEC1A,,,HEC-1-A,,,HEC-1-A,,,,,,HEC1A,endometrium,
HEC-108,,HEC-108,,,,,HEC108,,HEC-108,,,,,,,endometrium,
HEC-151,,HEC-151,,,,,HEC151,,HEC-151,,,,,,,endometrium,
HEC-251,,HEC-251,,,,,HEC251,,HEC-251,,,,,,,endometrium,
HEC-265,,HEC-265,,,,,HEC265,,HEC-265,,,,,,,endometrium,
HEC-59,,HEC-59,,,,,HEC59,,HEC-59,,,,,,,endometrium,
HEC-6,,HEC-6,,,,,HEC6,,HEC-6,,,,,,,endometrium,
HEK TE,,HEK TE,,,,,,,,,,,,,,kidney,
HEL 92.1.7,,HEL 92.1.7,HEL9217,,,,,,HEL_92.1.7,,,,,,,endometrium,ATCC:uterus/endometrium (adenocarcinoma)
HeLa,,,HELA,,,HeLa,,HeLa,,,,HeLa,,,,cervix,
Hep 3B2.1-7,,Hep 3B2.1-7,HEP3B,,,,,Hep3B2-1-7,Hep_3B2.1-7,Hep_3B2_1-7,,,,,,liver,ATCC:Liver (hepatocellular carcinoma)
Hep G2,,Hep G2,HEPG2,,,Hep G2,HEPG2,,Hep_G2,,,Hep G2,,,,liver,ATCC:Liver (hepatocellular carcinoma)
HEY,,,,,,HEY,,Hey,,Hey,,,,,,ovary,
Hey-A8,,Hey-A8,,,,,HEYA8,,Hey-A8,,,,,,,ovary,
HL-60,HL-60,HL-60,HL60,LE:HL_60,,HL-60,,HL-60,HL-60,,,,,,,haematopoietic_and_lymphoid_tissue,
HMV-II,HMV-II,,,,,,,HMV-II,,,,HMVII,,,,skin,
HOP-62,HOP-62,,HOP62,LC:HOP_62,,HOP-62,,HOP-62,HOP-62,,,,,,,lung,
HOP-92,HOP-92,,HOP92,LC:HOP_92,,HOP-92,,HOP-92,HOP-92,,,,,,,lung,
HPAF-II,HPAF-II,HPAF-II,HPAFII,,,HPAF-II,,HPAF-II,HPAF-II,,,,,,,pancreas,
Hs 172.T,,Hs 172.T,,,,,,,Hs_172.T,,,,,,,urinary_tract,
Hs 229.T,,Hs 229.T,,,,,,,Hs_229.T,,,,,,,lung,
Hs 255.T,,Hs 255.T,,,,Hs 255.T,,,Hs_255.T,,,,,,,large_intestine,
Hs 281.T,,Hs 281.T,,,,,,,Hs_281.T,,,,,,,breast,
Hs 294T,,Hs 294T,,,,Hs 294T,,,Hs_294T,,,,,,,skin,
